Region;Gene
RL;OLIG3
RL;CALCA
RL;RSPO1
RL;CALCB
RL;NEUROG1
RL;WNT2B
RL;RSPO3
RL;ATP6V1C2
RL;SLFN13
RL;DPYD
RL;TPBG
RL;CCDC60
RL;C2orf71
RL;NPS
RL;GLRA1
RL;FCER2
RL;MSX1
RL;FBXO32
RL;ACTC1
RL;WDR72
RL;CACNA2D4
RL;C1orf168
RL;OTX2
RL;SNORA80B
RL;RSPO2
RL;SLFN11
RL;CRYAB
RL;LMX1B
RL;GALNT5
RL;OPTC
RL;NEUROD4
RL;SULF1
RL;BMP4
RL;DCT
RL;CENPW
RL;EOMES
RL;INSC
RL;OLFML1
RL;DSC3
RL;LRIG3
RL;PTPRQ
RL;RPGRIP1
RL;WNT1
RL;ELN
RL;LMX1A
RL;DDN
RL;CSRP2
RL;SLIT2
RL;FOXN4
RL;KCNMB1
RL;KCNJ2
RL;PGM5
RL;CACNA1F
RL;GPR64
RL;NMU
RL;WIF1
RL;PPP1R17
RL;SLC22A3
RL;TMEM235
RL;ITGA2
RL;TNFRSF11A
RL;CDHR1
RL;ABCA13
RL;TP73
RL;EYS
RL;HIST1H3B
RL;WFIKKN2
RL;MYBL1
RL;CRIP1
RL;UBE2C
RL;PGM5P2
RL;HMGB2
RL;HIST1H2BJ
RL;NUF2
RL;RAD51AP1
RL;HIST1H1D
RL;INHBB
RL;HIST1H1B
RL;ASPM
RL;RIBC2
RL;ANO2
RL;CASZ1
RL;C2orf48
RL;KIAA0101
RL;TULP1
RL;RRM2
RL;HIST1H3J
RL;CENPF
RL;TOP2A
RL;TK1
RL;MFNG
RL;HIST1H3H
RL;HIST1H3F
RL;DDIT4L
RL;KIF14
RL;CDC25C
RL;DACH2
RL;E2F7
RL;EYA4
RL;CEP55
RL;CCNB2
RL;HIST1H2BB
RL;DEPDC1
RL;HIST1H2BL
RL;GCNT1
RL;MIR1251
RL;KRT18
RL;KCNH5
RL;MYLK3
RL;DLGAP5
RL;HIST1H1T
RL;LOC441155
RL;HIST1H2BM
RL;CYTL1
RL;HIST1H3D
RL;FLVCR2
RL;BMF
RL;LHCGR
RL;EXO1
RL;NDC80
RL;CASC5
RL;POU5F1B
RL;DEPDC1B
RL;TPPP3
RL;TROAP
RL;HIST1H2AL
RL;FKBP5
RL;PTTG1
RL;HIST1H3G
RL;DDX31
RL;E2F1
RL;RASGEF1B
RL;TTK
RL;FOLR1
RL;KIF15
RL;TPD52L1
RL;BIRC5
RL;LINC00478
RL;TGFB3
RL;CENPU
RL;CDK1
RL;CXorf30
RL;CKAP2L
RL;CEP152
RL;LAMA3
RL;EGFEM1P
RL;LRRC2
RL;NEK2
RL;CA4
RL;HIST1H1C
RL;CXorf22
RL;NEIL3
RL;SKA1
RL;HIST1H2BO
RL;FRMPD1
RL;SMC4
RL;ECT2
RL;XKR5
RL;MXD3
RL;CCNE2
RL;ESCO2
RL;SGOL1
RL;HIST1H2BI
RL;PIF1
RL;FAM83D
RL;HIST1H2BH
RL;CCDC147
RL;ACRV1
RL;KCNA5
RL;CDCA8
RL;SPAG5
RL;CDC45
RL;FMO1
RL;MIR548F2
RL;CENPA
RL;HIST1H2AJ
RL;TRIM59
RL;GRIK1-AS2
RL;HIST1H1A
RL;DSG2
RL;BRIP1
RL;IL1A
RL;HJURP
RL;HK2
RL;FAM111B
RL;KIF11
RL;HIST1H2AM
RL;KIF2C
RL;AURKB
RL;KIF20A
RL;SNORA80A
RL;PRC1
RL;DIAPH3
RL;IQGAP2
RL;CDCA2
RL;LTBP1
RL;DCDC1
RL;LHX4
RL;ASB9P1
RL;ZFHX4
RL;E2F8
RL;GTSE1
RL;POLQ
RL;HIST1H2AG
RL;DGKB
RL;UNC5B
RL;CENPE
RL;BUB1B
RL;PSMB9
RL;RTKN2
RL;NUSAP1
RL;MDK
RL;SPC25
RL;GBP1
RL;KIFC1
RL;HIST1H2BE
RL;CP
RL;PMCH
RL;GABRD
RL;KCNK13
RL;GLT8D2
RL;GADD45G
RL;CCNB1
RL;FRMD4B
RL;MAD2L1
RL;UBE2T
RL;KIF18A
RL;ACTA2
RL;MCM10
RL;HIST3H2BB
RL;GDF6
RL;CHDC2
RL;SV2C
RL;ASF1B
RL;FBXO43
RL;ZWINT
RL;C1QTNF6
RL;VRK1
RL;NCAPH
RL;CASQ2
RL;DLEU2
RL;VWA5A
RL;CDC20
RL;CDC20B
RL;CDKN3
RL;TSHZ3
RL;EFHD1
RL;BUB1
RL;ARHGAP11B
RL;CPAMD8
RL;MIR133A1HG
RL;COL14A1
RL;CMC1
RL;KIF23
RL;HIST1H4H
RL;PRDX1
RL;CDCA3
RL;ORC6
RL;FAM64A
RL;BARHL1
RL;CENPI
RL;HIST1H2AH
RL;GSG2
RL;KRT8
RL;DTL
RL;ITGB4
RL;AQP1
RL;FAM179A
RL;POTEF
RL;OR7E14P
RL;BRCA2
RL;BTG3
RL;XRCC2
RL;HIST1H2AI
RL;PRR11
RL;ATAD2
RL;HIST1H4D
RL;FANCI
RL;HIST1H3I
RL;NCAPG
RL;TMC5
RL;IQGAP3
RL;SKA3
RL;ANLN
RL;CLSPN
RL;ARHGEF39
RL;HIST1H2AB
RL;HIST1H3A
RL;KIF4A
RL;GIF
RL;SNORA71D
RL;RHBDL3
RL;HIST1H4A
RL;MIS18BP1
RL;HIST1H4B
RL;FAS
RL;E2F2
RL;KIF20B
RL;COLGALT2
RL;BLM
RL;C12orf5
RL;IMPA2
RL;STX3
RL;USP2-AS1
RL;WLS
RL;ANP32C
RL;NKD1
RL;ADAMTS16
RL;CHEK2
RL;HIST2H3D
RL;GJD2
RL;FBXO10
RL;HIST1H3C
RL;C12orf79
RL;RBM24
RL;HMMR
RL;AURKA
RL;CDCA5
RL;HIST1H4L
RL;DSN1
RL;GLIPR1L1
RL;MST4
RL;IFITM1
RL;CLYBL
RL;TSPAN9
RL;ITPRIP
RL;RAD51
RL;HIST1H2BG
RL;MYO7A
RL;GK5
RL;ERICH6B
RL;ADH1A
RL;XKRX
RL;FBLN1
RL;TESK2
RL;HIST1H4I
RL;ZNF367
RL;ACTL6A
RL;MKI67
RL;HES6
RL;SFR1
RL;PLK1
RL;HIST1H1E
RL;ELP4
RL;CTBS
RL;LOC399815
RL;SPC24
RL;MELK
RL;CKS2
RL;DENND2C
RL;CCNA2
RL;TYMSOS
RL;BRCA1
RL;CKS1B
RL;HIST1H2BD
RL;SHCBP1
RL;EDARADD
RL;SAMD3
RL;TPX2
RL;LRR1
RL;HIST1H3E
RL;GALNT12
RL;PDLIM4
RL;DDX12P
RL;CENPN
RL;FREM1
RL;KIF19
RL;ESPL1
RL;MAMDC2
RL;CENPM
RL;CTSV
RL;IGDCC3
RL;TMPO
RL;HNRNPU-AS1
RL;MYBL2
RL;HIST1H2BC
RL;HIST1H4C
RL;FAM111A
RL;HIST1H2BK
RL;XPO4
RL;EMILIN2
RL;TACC3
RL;HIST2H2BF
RL;HELLS
RL;ANTXR2
RL;ZNF492
RL;PARPBP
RL;RXRG
RL;UHRF1
RL;TMEM45A
RL;FBXO5
RL;UNCX
RL;APCDD1
RL;BMP6
RL;HMGN2
RL;ORC1
RL;LOC100288637
RL;HSPB2
RL;WDR76
RL;IGSF9
RL;GPR171
RL;FANCD2
RL;MIR7-1
RL;OIP5
RL;HAUS8
RL;CCDC15
RL;CLGN
RL;TAS2R46
RL;TICRR
RL;DEPDC7
RL;KNTC1
RL;APOL4
RL;GPR87
RL;CTGF
RL;NDE1
RL;PROKR2
RL;TTF2
RL;TMEM132C
RL;DBF4
RL;TBR1
RL;RASGRF2
RL;SNORA55
RL;AQP5
RL;STON1
RL;ERCC6L
RL;VAMP5
RL;KIAA1524
RL;UCP2
RL;TIMELESS
RL;SNORA64
RL;FAM174B
RL;PLEKHF2
RL;CDC6
RL;C12orf60
RL;EDA
RL;MND1
RL;GMNN
RL;LOC641367
RL;CHEK1
RL;KIF24
RL;HIST2H2AB
RL;CDCA4
RL;HIST1H2BF
RL;GNB3
RL;PDLIM7
RL;TCN1
RL;SNORA77
RL;CENPK
RL;PCNA
RL;P4HA2
RL;GPR98
RL;FOXM1
RL;RUNX2
RL;TYRP1
